filename,count
exploud.png,225
falinks.png,2717
farfetchd-galar.png,1443
farfetchd.png,3
farigiraf.png,7332
fearow.png,42061
feebas.png,50
fennekin.png,22229
feraligatr.png,3199
ferroseed.png,56
ferrothorn.png,160
fidough.png,22
finizen.png,290
finneon.png,0
flaaffy.png,5
flabebe.png,24704
flamigo.png,17
flapple-gmax.png,145
flapple.png,4754
flareon.png,34563
fletchinder.png,18309
fletchling.png,18748
flittle.png,3593
floatzel.png,23763
floette.png,225
floragato.png,2
florges.png,6864
flutter-mane.png,405
flygon.png,524
fomantis.png,448
foongus.png,4403
forretress.png,22744
fraxure.png,8128
frigibax.png,55
frillish.png,207
froakie.png,101
frogadier.png,37
froslass.png,4486
frosmoth.png,18072
fuecoco.png,31765
furfrou.png,50
furret.png,807
gabite.png,11341
gallade-mega.png,27
gallade.png,6
galvantula.png,118
garbodor-gmax.png,28252
garbodor.png,38
garchomp-mega.png,16315
garchomp.png,7775
gardevoir-mega.png,97
gardevoir.png,10
garganacl.png,592
gastly.png,803
gastrodon.png,439
genesect.png,996
gengar-gmax.png,1164
gengar-mega.png,2194
gengar.png,1596
geodude-alola.png,43
geodude.png,21
gholdengo.png,1591
gible.png,6137
gigalith.png,29848
gimmighoul.png,550
girafarig.png,2934
giratina-altered.png,3134
giratina-origin.png,7389
glaceon.png,0
glalie-mega.png,254
glalie.png,0
glameow.png,6
glastrier.png,46
gligar.png,19
glimmet.png,8680
glimmora.png,17328
gliscor.png,3749
gloom.png,39301
gogoat.png,5103
golbat.png,1
goldeen.png,6390
golduck.png,212
golem-alola.png,303
golem.png,185
golett.png,7899
golisopod.png,0
golurk.png,5847
goodra.png,0
goomy.png,0
gorebyss.png,1
gossifleur.png,28934
gothita.png,466
gothitelle.png,94
gothorita.png,184
gourgeist-average.png,9961
gourgeist-large.png,12633
gourgeist-small.png,7624
gourgeist-super.png,15262
grafaiai.png,1512
granbull.png,35
grapploct.png,9302
graveler-alola.png,82
graveler.png,0
great-tusk.png,7777
greavard.png,3791
greedent.png,36912
greninja-ash.png,2543
greninja.png,12853
grimer-alola.png,84
grimer.png,0
grimmsnarl-gmax.png,19007
grimmsnarl.png,17615
grookey.png,12288
grotle.png,156
groudon-primal.png,7179
groudon.png,51929
grovyle.png,3
growlithe-hisui.png,50
growlithe.png,23202
grubbin.png,15272
grumpig.png,1
gulpin.png,0
gumshoos.png,25
gurdurr.png,499
guzzlord.png,595
gyarados-mega.png,5473
gyarados.png,789
hakamo-o.png,1603
happiny.png,26
hariyama.png,17619
hatenna.png,1
hatterene-gmax.png,39525
hatterene.png,0
hattrem.png,0
haunter.png,0
hawlucha.png,14077
haxorus.png,7023
heatmor.png,37224
heatran.png,20800
heliolisk.png,4518
helioptile.png,35
heracross-mega.png,4612
heracross.png,2
herdier.png,28475
hippopotas.png,1742
hippowdon.png,353
hitmonchan.png,5879
hitmonlee.png,0
hitmontop.png,121
ho-oh.png,22593
honchkrow.png,334
honedge.png,10
hoopa-unbound.png,236
hoopa.png,182
hoothoot.png,7648
hoppip.png,1
horsea.png,1029
houndoom-mega.png,3533
houndoom.png,2813
houndour.png,6699
houndstone.png,105
huntail.png,21505
hydreigon.png,11
hypno.png,14
igglybuff.png,207
illumise.png,12
impidimp.png,2453
incineroar.png,21031
indeedee-female.png,5948
indeedee-male.png,12
infernape.png,45458
inkay.png,55
inteleon-gmax.png,7885
inteleon.png,1
iron-bundle.png,20110
iron-hands.png,11184
iron-jugulis.png,273
iron-leaves.png,411
iron-moth.png,46718
iron-thorns.png,62
iron-treads.png,33954
iron-valiant.png,1172
ivysaur.png,343
jangmo-o.png,120
jellicent.png,149
jigglypuff.png,94
jirachi.png,31
jolteon.png,11
joltik.png,64
jumpluff.png,592
jynx.png,33719
kabuto.png,16483
kabutops.png,25661
kadabra.png,205
kakuna.png,72
kangaskhan-mega.png,21
kangaskhan.png,20
karrablast.png,49
kartana.png,3889
kecleon.png,452
keldeo-ordinary.png,17517
keldeo-resolute.png,18742
kilowattrel.png,420
kingambit.png,6821
kingdra.png,20
kingler-gmax.png,7557
kingler.png,26408
kirlia.png,13
klang.png,2
klawf.png,24444
kleavor.png,314
klefki.png,1398
klink.png,0
klinklang.png,308
koffing.png,4
komala.png,166
kommo-o.png,2501
koraidon.png,20632
krabby.png,27000
kricketot.png,27464
kricketune.png,30383
krokorok.png,8
krookodile.png,63
kubfu.png,0
kyogre-primal.png,21259
kyogre.png,15612
kyurem-black.png,5
kyurem-white.png,139
kyurem.png,3
lairon.png,4
lampent.png,2
landorus-incarnate.png,16826
landorus-therian.png,27765
lanturn.png,459
lapras-gmax.png,16410
lapras.png,40
larvesta.png,21242
larvitar.png,3911
latias-mega.png,11
latias.png,4451
latios-mega.png,97
latios.png,14
leafeon.png,478
leavanny.png,141
lechonk.png,96
ledian.png,128
ledyba.png,16227
lickilicky.png,25
lickitung.png,3
liepard.png,114
lileep.png,258
lilligant-hisui.png,261
lilligant.png,13554
lillipup.png,35213
linoone.png,19
litleo.png,6293
litten.png,10212
litwick.png,27
lokix.png,635
lombre.png,32
lopunny-mega.png,468
lopunny.png,21122
lotad.png,2
loudred.png,115
lucario-mega.png,9854
lucario.png,61
ludicolo.png,13
lugia.png,2179
lumineon.png,0
lunala.png,24057
lunatone.png,2
lurantis.png,47
luvdisc.png,5
luxio.png,118
luxray.png,178
lycanroc-midday.png,4
mabosstiff.png,73
machamp-gmax.png,36818
machamp.png,111
machoke.png,147
machop.png,826
magby.png,942
magcargo.png,72127
magearna.png,379
magikarp.png,35953
magmar.png,29046
magmortar.png,48703
magnemite.png,1014
magneton.png,3490
magnezone.png,2231
makuhita.png,5
malamar.png,4
mamoswine.png,27459
manaphy.png,274
mandibuzz.png,69
manectric-mega.png,1215
manectric.png,86
mankey.png,259
mantine.png,1
mantyke.png,760
maractus.png,21
mareanie.png,9
mareep.png,2471
marill.png,8240
marowak-alola.png,44
marowak.png,203
marshadow.png,1914
marshtomp.png,9654
maschiff.png,33674
masquerain.png,16022
maushold.png,47
mawile-mega.png,11
mawile.png,17
medicham-mega.png,26
medicham.png,20
meditite.png,7
meganium.png,35
melmetal-gmax.png,28252
